record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,genus,species,taxa,plot_type,date
8022,6,18,1983,2,NL,F,30,126,Neotoma,albigula,Rodent,Control,1983-06-18
8263,8,16,1983,2,NL,F,32,147,Neotoma,albigula,Rodent,Control,1983-08-16
8387,9,11,1983,2,NL,F,32,138,Neotoma,albigula,Rodent,Control,1983-09-11
8394,9,11,1983,2,NL,F,32,161,Neotoma,albigula,Rodent,Control,1983-09-11
8407,9,11,1983,2,NL,M,33,148,Neotoma,albigula,Rodent,Control,1983-09-11
8514,10,16,1983,2,NL,F,32,151,Neotoma,albigula,Rodent,Control,1983-10-16
8543,10,16,1983,2,NL,F,31,175,Neotoma,albigula,Rodent,Control,1983-10-16
8657,11,13,1983,2,NL,F,32,158,Neotoma,albigula,Rodent,Control,1983-11-13
8675,11,13,1983,2,NL,F,32,164,Neotoma,albigula,Rodent,Control,1983-11-13
8755,12,9,1983,2,NL,F,32,150,Neotoma,albigula,Rodent,Control,1983-12-09
9048,4,10,1984,2,NL,F,32,157,Neotoma,albigula,Rodent,Control,1984-04-10
9132,5,13,1984,2,NL,M,32,125,Neotoma,albigula,Rodent,Control,1984-05-13
9270,5,28,1984,2,NL,M,33,125,Neotoma,albigula,Rodent,Control,1984-05-28
9349,7,4,1984,2,NL,M,35,130,Neotoma,albigula,Rodent,Control,1984-07-04
9512,8,26,1984,2,NL,F,31,151,Neotoma,albigula,Rodent,Control,1984-08-26
9605,9,30,1984,2,NL,F,32,173,Neotoma,albigula,Rodent,Control,1984-09-30
9703,10,21,1984,2,NL,M,30,126,Neotoma,albigula,Rodent,Control,1984-10-21
10606,7,24,1985,2,NL,F,30,91,Neotoma,albigula,Rodent,Control,1985-07-24
10617,7,24,1985,2,NL,M,32,186,Neotoma,albigula,Rodent,Control,1985-07-24
10627,7,24,1985,2,NL,F,32,174,Neotoma,albigula,Rodent,Control,1985-07-24
10720,8,20,1985,2,NL,F,31,106,Neotoma,albigula,Rodent,Control,1985-08-20
10923,10,13,1985,2,NL,F,31,136,Neotoma,albigula,Rodent,Control,1985-10-13
10949,10,13,1985,2,NL,F,33,148,Neotoma,albigula,Rodent,Control,1985-10-13
11215,12,8,1985,2,NL,F,32,160,Neotoma,albigula,Rodent,Control,1985-12-08
11329,3,9,1986,2,NL,M,34,240,Neotoma,albigula,Rodent,Control,1986-03-09
11496,5,11,1986,2,NL,F,31,163,Neotoma,albigula,Rodent,Control,1986-05-11
11498,5,11,1986,2,NL,F,31,82,Neotoma,albigula,Rodent,Control,1986-05-11
11611,6,5,1986,2,NL,F,32,110,Neotoma,albigula,Rodent,Control,1986-06-05
11628,6,5,1986,2,NL,M,34,227,Neotoma,albigula,Rodent,Control,1986-06-05
11709,7,4,1986,2,NL,F,31,184,Neotoma,albigula,Rodent,Control,1986-07-04
11877,9,7,1986,2,NL,M,34,202,Neotoma,albigula,Rodent,Control,1986-09-07
11879,9,7,1986,2,NL,F,32,135,Neotoma,albigula,Rodent,Control,1986-09-07
11887,9,7,1986,2,NL,M,33,177,Neotoma,albigula,Rodent,Control,1986-09-07
11953,10,5,1986,2,NL,M,33,221,Neotoma,albigula,Rodent,Control,1986-10-05
12299,2,1,1987,2,NL,M,32,253,Neotoma,albigula,Rodent,Control,1987-02-01
12458,3,2,1987,2,NL,M,33,259,Neotoma,albigula,Rodent,Control,1987-03-02
12602,4,6,1987,2,NL,M,34,260,Neotoma,albigula,Rodent,Control,1987-04-06
12678,4,26,1987,2,NL,M,30,79,Neotoma,albigula,Rodent,Control,1987-04-26
12708,4,26,1987,2,NL,F,28,72,Neotoma,albigula,Rodent,Control,1987-04-26
12729,4,26,1987,2,NL,M,32,270,Neotoma,albigula,Rodent,Control,1987-04-26
12756,5,28,1987,2,NL,F,30,99,Neotoma,albigula,Rodent,Control,1987-05-28
12871,5,28,1987,2,NL,M,32,278,Neotoma,albigula,Rodent,Control,1987-05-28
12997,7,1,1987,2,NL,F,30,136,Neotoma,albigula,Rodent,Control,1987-07-01
13025,7,1,1987,2,NL,M,33,260,Neotoma,albigula,Rodent,Control,1987-07-01
13326,8,26,1987,2,NL,F,32,146,Neotoma,albigula,Rodent,Control,1987-08-26
13434,9,27,1987,2,NL,M,33,197,Neotoma,albigula,Rodent,Control,1987-09-27
13465,9,27,1987,2,NL,F,32,167,Neotoma,albigula,Rodent,Control,1987-09-27
13476,9,27,1987,2,NL,F,33,146,Neotoma,albigula,Rodent,Control,1987-09-27
13615,10,25,1987,2,NL,M,34,203,Neotoma,albigula,Rodent,Control,1987-10-25
13630,10,25,1987,2,NL,F,30,176,Neotoma,albigula,Rodent,Control,1987-10-25
13748,11,22,1987,2,NL,M,34,214,Neotoma,albigula,Rodent,Control,1987-11-22
13977,1,24,1988,2,NL,F,34,161,Neotoma,albigula,Rodent,Control,1988-01-24
14646,6,12,1988,2,NL,F,34,148,Neotoma,albigula,Rodent,Control,1988-06-12
14796,8,10,1988,2,NL,M,34,188,Neotoma,albigula,Rodent,Control,1988-08-10
14804,8,10,1988,2,NL,M,31,132,Neotoma,albigula,Rodent,Control,1988-08-10
14896,9,12,1988,2,NL,M,34,161,Neotoma,albigula,Rodent,Control,1988-09-12
14984,10,9,1988,2,NL,M,35,170,Neotoma,albigula,Rodent,Control,1988-10-09
15302,12,14,1988,2,NL,M,35,248,Neotoma,albigula,Rodent,Control,1988-12-14
15780,3,13,1989,2,NL,M,33,242,Neotoma,albigula,Rodent,Control,1989-03-13
16407,7,30,1989,2,NL,F,33,97,Neotoma,albigula,Rodent,Control,1989-07-30
17230,2,25,1990,2,NL,M,33,218,Neotoma,albigula,Rodent,Control,1990-02-25
17941,10,16,1990,2,NL,F,33,195,Neotoma,albigula,Rodent,Control,1990-10-16
18110,12,15,1990,2,NL,F,33,193,Neotoma,albigula,Rodent,Control,1990-12-15
18364,2,16,1991,2,NL,F,33,185,Neotoma,albigula,Rodent,Control,1991-02-16
18486,3,13,1991,2,NL,F,33,174,Neotoma,albigula,Rodent,Control,1991-03-13
18639,4,21,1991,2,NL,F,33,126,Neotoma,albigula,Rodent,Control,1991-04-21
18678,5,13,1991,2,NL,F,31,81,Neotoma,albigula,Rodent,Control,1991-05-13
18680,5,13,1991,2,NL,F,33,185,Neotoma,albigula,Rodent,Control,1991-05-13
18846,7,12,1991,2,NL,M,33,154,Neotoma,albigula,Rodent,Control,1991-07-12
18948,8,7,1991,2,NL,M,32,178,Neotoma,albigula,Rodent,Control,1991-08-07
19032,9,9,1991,2,NL,M,31,180,Neotoma,albigula,Rodent,Control,1991-09-09
19245,11,13,1991,2,NL,F,36,165,Neotoma,albigula,Rodent,Control,1991-11-13
20040,5,30,1992,2,NL,F,36,220,Neotoma,albigula,Rodent,Control,1992-05-30
20089,7,3,1992,2,NL,F,21,130,Neotoma,albigula,Rodent,Control,1992-07-03
20364,9,26,1992,2,NL,F,32,114,Neotoma,albigula,Rodent,Control,1992-09-26
20466,10,18,1992,2,NL,F,33,135,Neotoma,albigula,Rodent,Control,1992-10-18
20992,7,14,1993,2,NL,M,32,78,Neotoma,albigula,Rodent,Control,1993-07-14
21120,9,16,1993,2,NL,M,37,138,Neotoma,albigula,Rodent,Control,1993-09-16
21161,10,15,1993,2,NL,M,32,148,Neotoma,albigula,Rodent,Control,1993-10-15
21232,11,13,1993,2,NL,M,35,154,Neotoma,albigula,Rodent,Control,1993-11-13
21235,11,13,1993,2,NL,M,34,160,Neotoma,albigula,Rodent,Control,1993-11-13
21286,12,14,1993,2,NL,M,32,153,Neotoma,albigula,Rodent,Control,1993-12-14
22728,9,23,1995,2,NL,F,32,165,Neotoma,albigula,Rodent,Control,1995-09-23
22899,10,28,1995,2,NL,F,32,171,Neotoma,albigula,Rodent,Control,1995-10-28
24589,10,12,1996,2,NL,M,33,127,Neotoma,albigula,Rodent,Control,1996-10-12
24690,11,16,1996,2,NL,F,33,130,Neotoma,albigula,Rodent,Control,1996-11-16
24703,11,16,1996,2,NL,M,33,148,Neotoma,albigula,Rodent,Control,1996-11-16
25247,3,15,1997,2,NL,M,34,147,Neotoma,albigula,Rodent,Control,1997-03-15
25701,5,10,1997,2,NL,F,32,144,Neotoma,albigula,Rodent,Control,1997-05-10
26028,6,9,1997,2,NL,M,34,193,Neotoma,albigula,Rodent,Control,1997-06-09
26644,7,29,1997,2,NL,F,30,178,Neotoma,albigula,Rodent,Control,1997-07-29
26827,9,27,1997,2,NL,F,33,138,Neotoma,albigula,Rodent,Control,1997-09-27
26857,9,27,1997,2,NL,F,33,174,Neotoma,albigula,Rodent,Control,1997-09-27
27042,10,25,1997,2,NL,F,34,186,Neotoma,albigula,Rodent,Control,1997-10-25
27326,12,28,1997,2,NL,F,33,181,Neotoma,albigula,Rodent,Control,1997-12-28
27734,3,29,1998,2,NL,F,33,188,Neotoma,albigula,Rodent,Control,1998-03-29
27860,5,28,1998,2,NL,F,33,190,Neotoma,albigula,Rodent,Control,1998-05-28
27897,5,28,1998,2,NL,M,21,110,Neotoma,albigula,Rodent,Control,1998-05-28
27919,5,28,1998,2,NL,F,34,158,Neotoma,albigula,Rodent,Control,1998-05-28
28022,6,27,1998,2,NL,F,31,182,Neotoma,albigula,Rodent,Control,1998-06-27
28077,6,27,1998,2,NL,M,30,132,Neotoma,albigula,Rodent,Control,1998-06-27
28328,8,22,1998,2,NL,F,30,143,Neotoma,albigula,Rodent,Control,1998-08-22
28551,9,20,1998,2,NL,M,31,178,Neotoma,albigula,Rodent,Control,1998-09-20
28556,9,20,1998,2,NL,M,30,149,Neotoma,albigula,Rodent,Control,1998-09-20
28662,10,24,1998,2,NL,M,34,168,Neotoma,albigula,Rodent,Control,1998-10-24
28928,12,22,1998,2,NL,F,31,165,Neotoma,albigula,Rodent,Control,1998-12-22
29039,1,16,1999,2,NL,F,34,162,Neotoma,albigula,Rodent,Control,1999-01-16
29310,3,14,1999,2,NL,F,32,153,Neotoma,albigula,Rodent,Control,1999-03-14
29435,4,17,1999,2,NL,M,34,220,Neotoma,albigula,Rodent,Control,1999-04-17
29572,5,15,1999,2,NL,F,33,154,Neotoma,albigula,Rodent,Control,1999-05-15
29823,9,11,1999,2,NL,F,33,200,Neotoma,albigula,Rodent,Control,1999-09-11
29865,10,9,1999,2,NL,F,32,194,Neotoma,albigula,Rodent,Control,1999-10-09
29950,11,6,1999,2,NL,F,33,195,Neotoma,albigula,Rodent,Control,1999-11-06
30066,12,5,1999,2,NL,F,33,131,Neotoma,albigula,Rodent,Control,1999-12-05
30172,1,8,2000,2,NL,F,30,137,Neotoma,albigula,Rodent,Control,2000-01-08
30174,1,8,2000,2,NL,F,33,181,Neotoma,albigula,Rodent,Control,2000-01-08
30175,1,8,2000,2,NL,M,34,265,Neotoma,albigula,Rodent,Control,2000-01-08
30307,2,5,2000,2,NL,F,33,185,Neotoma,albigula,Rodent,Control,2000-02-05
30308,2,5,2000,2,NL,F,31,144,Neotoma,albigula,Rodent,Control,2000-02-05
30443,3,4,2000,2,NL,M,33,184,Neotoma,albigula,Rodent,Control,2000-03-04
30741,6,3,2000,2,NL,F,33,158,Neotoma,albigula,Rodent,Control,2000-06-03
31516,11,25,2000,2,NL,F,29,200,Neotoma,albigula,Rodent,Control,2000-11-25
31517,11,25,2000,2,NL,M,32,228,Neotoma,albigula,Rodent,Control,2000-11-25
31633,12,22,2000,2,NL,F,31,173,Neotoma,albigula,Rodent,Control,2000-12-22
31717,1,21,2001,2,NL,M,33,121,Neotoma,albigula,Rodent,Control,2001-01-21
31721,1,21,2001,2,NL,F,31,158,Neotoma,albigula,Rodent,Control,2001-01-21
31862,3,24,2001,2,NL,F,32,252,Neotoma,albigula,Rodent,Control,2001-03-24
31946,4,21,2001,2,NL,F,33,145,Neotoma,albigula,Rodent,Control,2001-04-21
32045,5,26,2001,2,NL,M,32,135,Neotoma,albigula,Rodent,Control,2001-05-26
32167,6,25,2001,2,NL,F,30,173,Neotoma,albigula,Rodent,Control,2001-06-25
32391,8,25,2001,2,NL,F,33,193,Neotoma,albigula,Rodent,Control,2001-08-25
32817,10,13,2001,2,NL,F,29,72,Neotoma,albigula,Rodent,Control,2001-10-13
33040,11,17,2001,2,NL,F,31,119,Neotoma,albigula,Rodent,Control,2001-11-17
33041,11,17,2001,2,NL,F,33,213,Neotoma,albigula,Rodent,Control,2001-11-17
33237,12,15,2001,2,NL,F,33,126,Neotoma,albigula,Rodent,Control,2001-12-15
33238,12,15,2001,2,NL,F,32,198,Neotoma,albigula,Rodent,Control,2001-12-15
33415,2,9,2002,2,NL,M,33,120,Neotoma,albigula,Rodent,Control,2002-02-09
33583,3,13,2002,2,NL,M,32,136,Neotoma,albigula,Rodent,Control,2002-03-13
33586,3,13,2002,2,NL,F,32,196,Neotoma,albigula,Rodent,Control,2002-03-13
33847,4,17,2002,2,NL,F,30,149,Neotoma,albigula,Rodent,Control,2002-04-17
33966,5,15,2002,2,NL,F,31,188,Neotoma,albigula,Rodent,Control,2002-05-15
34198,6,15,2002,2,NL,F,31,139,Neotoma,albigula,Rodent,Control,2002-06-15
34783,10,5,2002,2,NL,M,36,226,Neotoma,albigula,Rodent,Control,2002-10-05
34991,11,9,2002,2,NL,M,33,238,Neotoma,albigula,Rodent,Control,2002-11-09
35212,12,7,2002,2,NL,M,33,248,Neotoma,albigula,Rodent,Control,2002-12-07
226,9,13,1977,2,DM,M,37,51,Dipodomys,merriami,Rodent,Control,1977-09-13
233,9,13,1977,2,DM,M,25,44,Dipodomys,merriami,Rodent,Control,1977-09-13
245,10,16,1977,2,DM,M,37,39,Dipodomys,merriami,Rodent,Control,1977-10-16
251,10,16,1977,2,DM,M,36,49,Dipodomys,merriami,Rodent,Control,1977-10-16
257,10,16,1977,2,DM,M,37,47,Dipodomys,merriami,Rodent,Control,1977-10-16
259,10,16,1977,2,DM,M,36,41,Dipodomys,merriami,Rodent,Control,1977-10-16
268,10,16,1977,2,DM,F,36,55,Dipodomys,merriami,Rodent,Control,1977-10-16
346,11,12,1977,2,DM,F,37,36,Dipodomys,merriami,Rodent,Control,1977-11-12
350,11,12,1977,2,DM,M,37,47,Dipodomys,merriami,Rodent,Control,1977-11-12
354,11,12,1977,2,DM,M,38,44,Dipodomys,merriami,Rodent,Control,1977-11-12
361,11,12,1977,2,DM,F,36,40,Dipodomys,merriami,Rodent,Control,1977-11-12
422,12,10,1977,2,DM,F,37,42,Dipodomys,merriami,Rodent,Control,1977-12-10
424,12,10,1977,2,DM,M,37,52,Dipodomys,merriami,Rodent,Control,1977-12-10
427,12,10,1977,2,DM,F,37,37,Dipodomys,merriami,Rodent,Control,1977-12-10
438,12,10,1977,2,DM,M,36,47,Dipodomys,merriami,Rodent,Control,1977-12-10
449,12,10,1977,2,DM,M,35,43,Dipodomys,merriami,Rodent,Control,1977-12-10
507,1,8,1978,2,DM,M,35,44,Dipodomys,merriami,Rodent,Control,1978-01-08
511,1,8,1978,2,DM,M,36,38,Dipodomys,merriami,Rodent,Control,1978-01-08
518,1,8,1978,2,DM,M,36,38,Dipodomys,merriami,Rodent,Control,1978-01-08
519,1,8,1978,2,DM,M,38,48,Dipodomys,merriami,Rodent,Control,1978-01-08
521,1,8,1978,2,DM,M,36,43,Dipodomys,merriami,Rodent,Control,1978-01-08
522,1,8,1978,2,DM,F,37,35,Dipodomys,merriami,Rodent,Control,1978-01-08
523,1,8,1978,2,DM,M,36,43,Dipodomys,merriami,Rodent,Control,1978-01-08
527,1,8,1978,2,DM,F,37,37,Dipodomys,merriami,Rodent,Control,1978-01-08
593,2,18,1978,2,DM,M,38,52,Dipodomys,merriami,Rodent,Control,1978-02-18
595,2,18,1978,2,DM,M,37,51,Dipodomys,merriami,Rodent,Control,1978-02-18
600,2,18,1978,2,DM,F,37,40,Dipodomys,merriami,Rodent,Control,1978-02-18
601,2,18,1978,2,DM,M,36,41,Dipodomys,merriami,Rodent,Control,1978-02-18
660,3,11,1978,2,DM,M,37,53,Dipodomys,merriami,Rodent,Control,1978-03-11
664,3,11,1978,2,DM,M,35,43,Dipodomys,merriami,Rodent,Control,1978-03-11
838,5,6,1978,2,DM,M,37,48,Dipodomys,merriami,Rodent,Control,1978-05-06
842,5,6,1978,2,DM,F,38,41,Dipodomys,merriami,Rodent,Control,1978-05-06
849,5,6,1978,2,DM,M,36,43,Dipodomys,merriami,Rodent,Control,1978-05-06
924,5,19,1978,2,DM,M,37,49,Dipodomys,merriami,Rodent,Control,1978-05-19
930,5,19,1978,2,DM,M,36,44,Dipodomys,merriami,Rodent,Control,1978-05-19
1018,6,9,1978,2,DM,M,36,43,Dipodomys,merriami,Rodent,Control,1978-06-09
1061,7,7,1978,2,DM,F,38,46,Dipodomys,merriami,Rodent,Control,1978-07-07
1062,7,7,1978,2,DM,F,37,43,Dipodomys,merriami,Rodent,Control,1978-07-07
1159,8,5,1978,2,DM,F,36,31,Dipodomys,merriami,Rodent,Control,1978-08-05
1183,8,5,1978,2,DM,F,37,47,Dipodomys,merriami,Rodent,Control,1978-08-05
1269,9,4,1978,2,DM,F,38,41,Dipodomys,merriami,Rodent,Control,1978-09-04
1272,9,4,1978,2,DM,F,36,42,Dipodomys,merriami,Rodent,Control,1978-09-04
1277,9,4,1978,2,DM,F,38,47,Dipodomys,merriami,Rodent,Control,1978-09-04
1370,10,8,1978,2,DM,F,36,39,Dipodomys,merriami,Rodent,Control,1978-10-08
1382,10,8,1978,2,DM,F,38,42,Dipodomys,merriami,Rodent,Control,1978-10-08
1461,11,5,1978,2,DM,F,36,38,Dipodomys,merriami,Rodent,Control,1978-11-05
1469,11,5,1978,2,DM,F,38,41,Dipodomys,merriami,Rodent,Control,1978-11-05
1519,12,3,1978,2,DM,M,38,46,Dipodomys,merriami,Rodent,Control,1978-12-03
1529,12,3,1978,2,DM,M,38,38,Dipodomys,merriami,Rodent,Control,1978-12-03
1534,12,3,1978,2,DM,F,37,40,Dipodomys,merriami,Rodent,Control,1978-12-03
1535,12,3,1978,2,DM,F,38,43,Dipodomys,merriami,Rodent,Control,1978-12-03
1539,12,3,1978,2,DM,M,36,49,Dipodomys,merriami,Rodent,Control,1978-12-03
1581,1,29,1979,2,DM,F,38,42,Dipodomys,merriami,Rodent,Control,1979-01-29
1644,2,25,1979,2,DM,F,37,44,Dipodomys,merriami,Rodent,Control,1979-02-25
1661,2,25,1979,2,DM,F,35,44,Dipodomys,merriami,Rodent,Control,1979-02-25
1676,3,31,1979,2,DM,M,36,54,Dipodomys,merriami,Rodent,Control,1979-03-31
1692,3,31,1979,2,DM,M,37,45,Dipodomys,merriami,Rodent,Control,1979-03-31
1701,3,31,1979,2,DM,F,36,46,Dipodomys,merriami,Rodent,Control,1979-03-31
1768,4,29,1979,2,DM,M,39,43,Dipodomys,merriami,Rodent,Control,1979-04-29
1839,5,30,1979,2,DM,M,37,50,Dipodomys,merriami,Rodent,Control,1979-05-30
1845,5,30,1979,2,DM,F,36,53,Dipodomys,merriami,Rodent,Control,1979-05-30
1846,5,30,1979,2,DM,M,37,45,Dipodomys,merriami,Rodent,Control,1979-05-30
2014,8,23,1979,2,DM,M,38,49,Dipodomys,merriami,Rodent,Control,1979-08-23
2060,9,23,1979,2,DM,F,35,46,Dipodomys,merriami,Rodent,Control,1979-09-23
2070,9,23,1979,2,DM,M,37,51,Dipodomys,merriami,Rodent,Control,1979-09-23
2122,10,25,1979,2,DM,F,35,35,Dipodomys,merriami,Rodent,Control,1979-10-25
2131,10,25,1979,2,DM,F,37,47,Dipodomys,merriami,Rodent,Control,1979-10-25
2176,11,17,1979,2,DM,M,37,50,Dipodomys,merriami,Rodent,Control,1979-11-17
2181,11,17,1979,2,DM,F,36,49,Dipodomys,merriami,Rodent,Control,1979-11-17
2338,1,16,1980,2,DM,F,36,46,Dipodomys,merriami,Rodent,Control,1980-01-16
2339,1,16,1980,2,DM,F,35,37,Dipodomys,merriami,Rodent,Control,1980-01-16
2340,1,16,1980,2,DM,F,34,42,Dipodomys,merriami,Rodent,Control,1980-01-16
2372,1,16,1980,2,DM,F,36,37,Dipodomys,merriami,Rodent,Control,1980-01-16
2400,1,16,1980,2,DM,F,36,42,Dipodomys,merriami,Rodent,Control,1980-01-16
2456,2,25,1980,2,DM,F,36,48,Dipodomys,merriami,Rodent,Control,1980-02-25
2460,2,25,1980,2,DM,F,37,46,Dipodomys,merriami,Rodent,Control,1980-02-25
2525,2,25,1980,2,DM,F,36,45,Dipodomys,merriami,Rodent,Control,1980-02-25
2975,5,18,1980,2,DM,M,35,43,Dipodomys,merriami,Rodent,Control,1980-05-18
2981,5,18,1980,2,DM,F,36,56,Dipodomys,merriami,Rodent,Control,1980-05-18
3035,6,2,1980,2,DM,M,38,46,Dipodomys,merriami,Rodent,Control,1980-06-02
3099,6,23,1980,2,DM,M,35,42,Dipodomys,merriami,Rodent,Control,1980-06-23
3107,6,23,1980,2,DM,F,35,53,Dipodomys,merriami,Rodent,Control,1980-06-23
3182,7,22,1980,2,DM,M,36,43,Dipodomys,merriami,Rodent,Control,1980-07-22
3236,8,14,1980,2,DM,M,35,42,Dipodomys,merriami,Rodent,Control,1980-08-14
3302,9,8,1980,2,DM,M,35,45,Dipodomys,merriami,Rodent,Control,1980-09-08
3388,10,12,1980,2,DM,M,34,45,Dipodomys,merriami,Rodent,Control,1980-10-12
3454,11,9,1980,2,DM,F,35,38,Dipodomys,merriami,Rodent,Control,1980-11-09
3456,11,9,1980,2,DM,F,36,45,Dipodomys,merriami,Rodent,Control,1980-11-09
3525,11,9,1980,2,DM,M,34,42,Dipodomys,merriami,Rodent,Control,1980-11-09
3547,12,15,1980,2,DM,M,34,48,Dipodomys,merriami,Rodent,Control,1980-12-15
3550,12,15,1980,2,DM,F,37,46,Dipodomys,merriami,Rodent,Control,1980-12-15
3564,12,15,1980,2,DM,M,35,49,Dipodomys,merriami,Rodent,Control,1980-12-15
3566,12,15,1980,2,DM,M,34,47,Dipodomys,merriami,Rodent,Control,1980-12-15
3569,12,15,1980,2,DM,M,34,33,Dipodomys,merriami,Rodent,Control,1980-12-15
3580,12,15,1980,2,DM,M,35,42,Dipodomys,merriami,Rodent,Control,1980-12-15
3738,1,12,1981,2,DM,M,35,47,Dipodomys,merriami,Rodent,Control,1981-01-12
3741,1,12,1981,2,DM,M,37,50,Dipodomys,merriami,Rodent,Control,1981-01-12
3781,1,12,1981,2,DM,M,35,54,Dipodomys,merriami,Rodent,Control,1981-01-12
3790,1,12,1981,2,DM,M,35,41,Dipodomys,merriami,Rodent,Control,1981-01-12
3867,2,1,1981,2,DM,M,37,48,Dipodomys,merriami,Rodent,Control,1981-02-01
3877,2,1,1981,2,DM,M,37,50,Dipodomys,merriami,Rodent,Control,1981-02-01
3889,2,1,1981,2,DM,M,36,48,Dipodomys,merriami,Rodent,Control,1981-02-01
3897,2,1,1981,2,DM,M,37,49,Dipodomys,merriami,Rodent,Control,1981-02-01
3899,2,1,1981,2,DM,M,36,44,Dipodomys,merriami,Rodent,Control,1981-02-01
3901,2,1,1981,2,DM,M,37,39,Dipodomys,merriami,Rodent,Control,1981-02-01
3947,3,9,1981,2,DM,M,35,51,Dipodomys,merriami,Rodent,Control,1981-03-09
3960,3,9,1981,2,DM,M,37,49,Dipodomys,merriami,Rodent,Control,1981-03-09
3979,3,9,1981,2,DM,F,34,51,Dipodomys,merriami,Rodent,Control,1981-03-09
3998,3,9,1981,2,DM,F,36,30,Dipodomys,merriami,Rodent,Control,1981-03-09
4004,3,9,1981,2,DM,M,36,40,Dipodomys,merriami,Rodent,Control,1981-03-09
4452,5,4,1981,2,DM,M,36,48,Dipodomys,merriami,Rodent,Control,1981-05-04
4482,5,4,1981,2,DM,M,37,44,Dipodomys,merriami,Rodent,Control,1981-05-04
4520,6,4,1981,2,DM,M,34,38,Dipodomys,merriami,Rodent,Control,1981-06-04
4548,6,4,1981,2,DM,M,36,44,Dipodomys,merriami,Rodent,Control,1981-06-04
4685,7,8,1981,2,DM,M,37,45,Dipodomys,merriami,Rodent,Control,1981-07-08
4693,7,30,1981,2,DM,M,37,45,Dipodomys,merriami,Rodent,Control,1981-07-30
4714,7,30,1981,2,DM,M,37,45,Dipodomys,merriami,Rodent,Control,1981-07-30
4952,10,26,1981,2,DM,F,37,38,Dipodomys,merriami,Rodent,Control,1981-10-26
5044,11,23,1981,2,DM,F,36,36,Dipodomys,merriami,Rodent,Control,1981-11-23
5063,11,23,1981,2,DM,M,37,44,Dipodomys,merriami,Rodent,Control,1981-11-23
5167,1,1,1982,2,DM,M,35,45,Dipodomys,merriami,Rodent,Control,1982-01-01
5288,1,25,1982,2,DM,M,35,44,Dipodomys,merriami,Rodent,Control,1982-01-25
5483,2,24,1982,2,DM,M,34,44,Dipodomys,merriami,Rodent,Control,1982-02-24
6006,6,28,1982,2,DM,F,35,32,Dipodomys,merriami,Rodent,Control,1982-06-28
6470,8,16,1982,2,DM,M,35,39,Dipodomys,merriami,Rodent,Control,1982-08-16
6474,8,16,1982,2,DM,M,36,40,Dipodomys,merriami,Rodent,Control,1982-08-16
6520,9,18,1982,2,DM,M,37,40,Dipodomys,merriami,Rodent,Control,1982-09-18
6523,9,18,1982,2,DM,F,36,38,Dipodomys,merriami,Rodent,Control,1982-09-18
6528,9,18,1982,2,DM,M,34,45,Dipodomys,merriami,Rodent,Control,1982-09-18
6549,9,18,1982,2,DM,F,34,33,Dipodomys,merriami,Rodent,Control,1982-09-18
6553,9,18,1982,2,DM,M,36,40,Dipodomys,merriami,Rodent,Control,1982-09-18
